# Index   ID                               RA                  Dec                  
  111     frame-r-003560-5-0161.fits.bz2   131.012525276528    31.1355599163432     
  112     frame-r-003606-2-0033.fits.bz2   129.194024880135    28.6655627180195     
  113     frame-r-003635-6-0087.fits.bz2   123.265335643664    24.5583550342799     
  114     frame-r-003635-6-0112.fits.bz2   126.587702969446    26.7067659262596     
  115     frame-r-003635-4-0070.fits.bz2   121.455408215666    22.3401306665901     
  116     frame-r-003644-3-0156.fits.bz2   132.750243623972    29.1818917610494     
  117     frame-r-003644-6-0159.fits.bz2   132.507683901174    30.4651249596826     
  118     frame-r-003647-1-0062.fits.bz2   146.775292043129    34.7568021959229     
  119     frame-r-003650-5-0063.fits.bz2   197.738389879178    49.8597552285075     
  120     frame-r-003650-6-0034.fits.bz2   190.980739186027    50.7925163801128     
  121     frame-r-003698-2-0080.fits.bz2   165.910120116427    45.1799644559423     
  122     frame-r-003698-5-0110.fits.bz2   171.897955083859    47.3794589743194     
  123     frame-r-003698-2-0093.fits.bz2   168.480318554702    45.4883951436956     
  124     frame-r-003698-5-0064.fits.bz2   162.051206189888    45.5953300878829     
  125     frame-r-003699-4-0156.fits.bz2   213.495323010202    43.8929916887574     
  126     frame-r-003704-5-0060.fits.bz2   139.764707501394    33.3927969040688     
  127     frame-r-003704-5-0030.fits.bz2   135.233738980726    31.1414318805705     
  128     frame-r-003705-6-0092.fits.bz2   211.424508521516    55.7769141614263     
  129     frame-r-003705-6-0097.fits.bz2   212.875559660378    55.4467872924245     
  130     frame-r-003705-1-0270.fits.bz2   242.709040466094    38.7081883076947     
  131     frame-r-003705-6-0129.fits.bz2   220.16040850614     53.4780544694594     
  132     frame-r-003705-5-0129.fits.bz2   219.825994614283    53.059307483364      
  133     frame-r-003712-4-0179.fits.bz2   209.079844618532    55.167756519005      
  134     frame-r-003712-5-0184.fits.bz2   210.586810118522    55.3094131773764     
  135     frame-r-003716-1-0036.fits.bz2   184.334373509076    46.6352727161394     
  136     frame-r-003723-3-0175.fits.bz2   248.737041015123    25.6925861617437     
  137     frame-r-003723-5-0117.fits.bz2   241.69512740921     31.8670307357345     
  138     frame-r-003813-2-0140.fits.bz2   167.103845448457    43.0129650209471     
  139     frame-r-003813-2-0263.fits.bz2   192.421747279754    44.2993275935649     
