# Index   ID                               RA                   DEC                    x0           y0           a            b           eps                   pa           mag                  magerr        
  45      frame-r-002335-6-0055.fits.bz2   255.10135713397196   38.35162043058468      1105.6002    268.3265     7.28828      4.2258043   0.42019182852469994   8.070041     17.07261632660181    0.0013116605  
  46      frame-r-002335-5-0078.fits.bz2   256.94457018891853   35.134196145296166     1368.1199    955.5222     8.967252     5.630949    0.37205411423700374   -71.02661    18.834903708776395   0.0060489634  
  47      frame-r-002507-6-0230.fits.bz2   351.59365724496126   15.676294111849426     1692.5289    150.26637    16.352926    7.403054    0.5472948388563612    -68.59668    18.568936156642472   0.006626956   
  48      frame-r-002566-3-0210.fits.bz2   344.7597084465846    13.813505789362932     1203.2096    235.66864    10.420821    8.340779    0.19960442656101673   61.255325    17.129127522747314   0.0019174005  
  49      frame-r-002583-6-0053.fits.bz2   310.8828078908005    0.9633372792166646     1193.8188    435.52924    6.5766215    2.857511    0.5655047200146762    -11.288962   16.811077135781936   0.0011914006  
  50      frame-r-002700-5-0069.fits.bz2   30.474691893223664   0.7211916148889516     917.0232     840.7233     6.743434     3.3901637   0.497264494618024     43.162457    17.118063053592305   0.0016801844  
  51      frame-r-002700-5-0064.fits.bz2   29.721633039267534   0.8251212112708313     1861.8064    799.3576     7.4428487    2.3114612   0.6894386419543903    -50.463383   17.78363090862943    0.0034586242  
  52      frame-r-002711-4-0059.fits.bz2   117.27401055486176   28.61943689065155      1217.5295    1355.5278    21.820755    16.630564   0.237855702059805     43.055332    18.0397880893923     0.004138882   
  53      frame-r-002711-2-0196.fits.bz2   136.03918221928592   42.30343815535512      1593.1156    450.2981     9.601838     4.2944717   0.5527448286463488    -4.878871    17.00739730010738    0.0017863027  
  54      frame-r-002728-3-0475.fits.bz2   9.29830220904864     -0.05850844198683109   1438.7815    707.20154    10.605137    7.780874    0.26631084539501937   9.080824     17.8971367448775     0.005493414   
  55      frame-r-002740-2-0216.fits.bz2   136.7783557561183    42.59519885081208      613.4164     361.83328    14.962209    12.466944   0.1667711632687393    60.75178     17.057606312127746   0.0032678272  
  56      frame-r-002740-6-0269.fits.bz2   144.69217512125726   48.562917444760174     1056.7502    484.2268     15.842581    3.755089    0.7629749218261848    85.7386      17.153395858378993   0.0022194295  
  57      frame-r-002740-5-0222.fits.bz2   136.730198919031     44.12145344049999      345.54407    424.63528    12.021169    9.0328865   0.24858501698129365   21.23397     17.901296487808594   0.0041881376  
